3.3400000000000016,3.940000000000003,['TI_h']
16.273000000000003,16.873000000000005,['TI_h']
19.513999999999996,20.113999999999997,['TI_h']
31.601,32.201,['TI_h']
34.563,35.163000000000004,['TI_h']
159.46200000000002,160.062,['TI_h']
166.50300000000001,167.103,['TI_h']
173.21500000000003,173.81500000000003,['TI_h']
181.24200000000002,181.842,['TI_h']
192.699,193.299,['TI_h']
197.175,197.775,['TI_h']
202.03200000000004,202.63200000000003,['TI_h']
308.18699999999995,308.787,['TI_h']
312.70799999999997,313.308,['TI_h']
314.614,315.214,['TI_h']
318.709,319.309,['TI_h']
327.18299999999994,327.78299999999996,['TI_h']
335.93699999999995,336.537,['TI_h']
338.61,339.21000000000004,['TI_h']
341.546,342.146,['TI_h']
357.662,358.262,['TI_h']
