92.646,93.286,['PAUSE_p_r']
100.999,101.80199999999999,['PAUSE_p_r']
102.706,103.935,['PAUSE_p_r']
110.875,111.759,['PAUSE_p_r']
114.493,115.05699999999999,['PAUSE_p_r']
121.88999999999999,123.963,['PAUSE_p_r']
124.751,126.488,['PAUSE_p_r']
127.33699999999999,127.708,['PAUSE_p_r']
128.739,130.207,['PAUSE_p_r']
130.995,132.809,['PAUSE_p_r']
233.38899999999998,233.71399999999997,['PAUSE_p_r']
237.465,237.786,['PAUSE_p_r']
254.88599999999997,255.30699999999996,['PAUSE_p_r']
265.572,266.084,['PAUSE_p_r']
280.935,281.266,['PAUSE_p_r']
382.571,383.13500000000005,['PAUSE_p_r']
384.74600000000004,385.208,['PAUSE_p_r']
395.999,397.28000000000003,['PAUSE_p_r']
399.70300000000003,400.47,['PAUSE_p_r']
408.82800000000003,409.91,['PAUSE_p_r']
411.99300000000005,412.34900000000005,['PAUSE_p_r']
414.51800000000003,415.093,['PAUSE_p_r']
419.538,419.975,['PAUSE_p_r']
421.75300000000004,422.081,['PAUSE_p_r']
427.66700000000003,429.273,['PAUSE_p_r']
432.62600000000003,433.129,['PAUSE_p_r']
435.288,436.462,['PAUSE_p_r']
